URL,Hotel Name,Is New,Total Rating,Price,Original Price,Discount,Hotel ID
https://www.oyorooms.com/210463,OYO Flagship 812358 H2o Fun Park,0,1 Ratings,₹1202,₹3640,66% off,210463
https://www.oyorooms.com/211795,OYO Flagship 813101 Hotel Sunrise 3,0,8 Ratings,₹911,₹2829,67% off,211795
https://www.oyorooms.com/212389,OYO 813435 Palm Guest House,1,,₹703,₹2008,64% off,212389
https://www.oyorooms.com/50659,SPOT ON Hotel Heaven,1,,₹583,₹1820,67% off,50659
https://www.oyorooms.com/54651,OYO Flagship Armaan Resort,0,12 Ratings,₹611,₹2208,72% off,54651
https://www.oyorooms.com/58233,Super OYO Flagship Welcome Lounge,0,177 Ratings,₹1072,₹3062,64% off,58233
https://www.oyorooms.com/161653,Flagship Tasya Heritage,0,24 Ratings,₹730,₹2267,67% off,161653
https://www.oyorooms.com/47047,OYO Hotel Neelam,0,448 Ratings,₹1160,₹3314,64% off,47047
https://www.oyorooms.com/100255,OYO V International,0,256 Ratings,₹877,₹2949,70% off,100255
https://www.oyorooms.com/103109,Super OYO Capital O Hotel Divine,0,188 Ratings,₹1137,₹3248,64% off,103109
https://www.oyorooms.com/103950,Super OYO Townhouse 231 Golden Avenue Road,0,654 Ratings,₹1562,₹4462,64% off,103950
https://www.oyorooms.com/104902,OYO Inderpuri Guest House,0,239 Ratings,₹778,₹2655,70% off,104902
https://www.oyorooms.com/111983,Flagship Hotel Dream House,1,,₹833,₹3025,72% off,111983
https://www.oyorooms.com/113741,OYO Townhouse 447 Hotel Teg Royal,0,205 Ratings,₹1540,₹4399,64% off,113741
https://www.oyorooms.com/113867,Collection O Hotel Platinum Inn And Suites,0,432 Ratings,₹1102,₹3148,64% off,113867
https://www.oyorooms.com/14276,OYO Townhouse 561 Hotel Hollywood Heights,0,594 Ratings,₹1154,₹3670,68% off,14276
https://www.oyorooms.com/14561,Super OYO Hotel Rich Inn,0,528 Ratings,₹1266,₹3618,65% off,14561
https://www.oyorooms.com/169694,Capital O Hotel City Inn,0,179 Ratings,₹1086,₹3102,64% off,169694
https://www.oyorooms.com/175250,OYO Hotel Vishal,0,26 Ratings,₹791,₹2653,70% off,175250
https://www.oyorooms.com/184081,SPOT ON Hotel Deepak Palace,0,77 Ratings,₹703,₹3080,77% off,184081
https://www.oyorooms.com/189840,OYO Hotel Avtar,0,83 Ratings,₹839,₹2903,71% off,189840
https://www.oyorooms.com/194927,Flagship Hotel Green Tower,0,105 Ratings,₹844,₹3309,74% off,194927
https://www.oyorooms.com/19640,OYO Hotel Queensland,0,682 Ratings,₹808,₹2748,70% off,19640
https://www.oyorooms.com/196447,OYO Flagship 703353 Hotel Eastern,0,22 Ratings,₹887,₹2768,67% off,196447
https://www.oyorooms.com/197545,Flagship 80457 Hotel Axis Inn,0,81 Ratings,₹896,₹2903,69% off,197545
https://www.oyorooms.com/198013,OYO Laser Tower Home Stay,0,27 Ratings,₹796,₹3252,75% off,198013
https://www.oyorooms.com/198451,Flagship Hotel Golden Gate,1,,₹796,₹3190,75% off,198451
https://www.oyorooms.com/198729,OYO Flagship 805300 Hotel R.s. Castle,0,16 Ratings,₹1171,₹3345,64% off,198729
https://www.oyorooms.com/199494,OYO Flagship 80584 Hotel Anand,0,7 Ratings,₹1116,₹3188,64% off,199494
https://www.oyorooms.com/203877,Flagship Hotel Grand Star,0,100 Ratings,₹989,₹2825,64% off,203877
https://www.oyorooms.com/204999,Flagship Hotel Boss,0,23 Ratings,₹796,₹2985,73% off,204999
https://www.oyorooms.com/206896,OYO Flagship 81034 Hotel Prince,1,,₹990,₹2829,65% off,206896
https://www.oyorooms.com/207116,OYO Flagship 81048 Hotel Mg Gold,0,29 Ratings,₹796,₹2547,68% off,207116
https://www.oyorooms.com/207801,OYO Flagship 810832 Hotel A1,1,,₹844,₹2547,66% off,207801
https://www.oyorooms.com/208367,OYO Flagship 811203 Hotel Diamond,0,3 Ratings,₹844,₹2547,66% off,208367
